age_category,White_Male,Black_Male,Hispanic_Male,Mixed_Male,Other_Male,Asian_Male,White_Female,Black_Female,Hispanic_Female,Mixed_Female,Other_Female,Asian_Female,All,All_Male,All_Female
18-24 years old,0.027587841050535893,0.0071613710850684485,0.012807205468172905,0.00790670299857517,0.0056482533237987315,0.0029840146213908868,0.026100664920562254,0.00699044712745097,0.01215390721238326,0.007424466064071239,0.005254012895299134,0.0029382222648682435,0.12495710903217712,0.06409538854754203,0.060861720484635104
25-34 years old,0.04084668820886354,0.010226637991386695,0.01682900930374176,0.010059359196477486,0.007949305837728078,0.005133390842922434,0.03895719734696481,0.010406111999768425,0.015719482751411697,0.009550229135999948,0.007176270017571829,0.005280949575606571,0.17813463220844325,0.09104439138111999,0.08709024082732329
35-44 years old,0.04106914364406916,0.00886023802912485,0.015909825241250806,0.009417676546487081,0.007631399404766372,0.005176258358411696,0.039506578312568416,0.009581367134355336,0.014564981323901653,0.00892079195448264,0.006804319356993298,0.005736092364134601,0.17317867167054593,0.08806454122410995,0.08511413044643594
45-54 years old,0.03977770739099623,0.007828703887351606,0.013077852098595218,0.007942139474646285,0.006255943491401169,0.004407913004975647,0.038508302930174765,0.008616977023681765,0.012548452521219671,0.007812484923499828,0.0059266794283098344,0.0049581416049222565,0.15766129777977428,0.07929025934796616,0.07837103843180812
55-64 years old,0.046340558170900235,0.007465145811868864,0.009380682165398186,0.0062034169648016654,0.004511009463485655,0.0034379914939056096,0.04689528961889824,0.00867779897570928,0.009522535280350537,0.0066299278043362424,0.004393613782145779,0.004001216037000546,0.15745918556880084,0.0773388040703602,0.08012038149844063
65+ years old,0.06525240607541413,0.007295632344600817,0.007774987992405196,0.00558443282340366,0.0034532422114130043,0.004051487789240981,0.07804376781707287,0.010540785350305497,0.009878467997079582,0.0071093236561410806,0.004282727798546867,0.005341841884634889,0.20860910374025857,0.0934121892364778,0.1151969145037808
All Ages,0.2608743445407792,0.04883772914940128,0.07577956226956407,0.04711372800439134,0.03544915373259301,0.025191056110847255,0.26801180094624133,0.05481348761127127,0.0743878270863464,0.04744722353853098,0.03383762327886674,0.02825646373116711,0.9999999999999999,0.4932455738075761,0.506754426192424
